frame	time_s	mouse_screen_x	mouse_screen_y	mouse_ray_x	mouse_ray_y	mouse_ray_z	PlayerCapsule_0_pos_x	PlayerCapsule_0_pos_y	PlayerCapsule_0_pos_z	PlayerCapsule_0_q_x	PlayerCapsule_0_q_y	PlayerCapsule_0_q_z	PlayerCapsule_0_q_w	PlayerCapsule_0_eul_x	PlayerCapsule_0_eul_y	PlayerCapsule_0_eul_z	PlayerCapsule_0_hovered	Car1_1_pos_x	Car1_1_pos_y	Car1_1_pos_z	Car1_1_q_x	Car1_1_q_y	Car1_1_q_z	Car1_1_q_w	Car1_1_eul_x	Car1_1_eul_y	Car1_1_eul_z	Car1_1_hovered	Car2_2_pos_x	Car2_2_pos_y	Car2_2_pos_z	Car2_2_q_x	Car2_2_q_y	Car2_2_q_z	Car2_2_q_w	Car2_2_eul_x	Car2_2_eul_y	Car2_2_eul_z	Car2_2_hovered	evt_trial_0	evt_lane_1	evt_car_2	evt_yielding_3	evt_ehmi_4
1	0	1099	133.5835	0.2311397	-0.2557957	0.9386922	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
2	0.02	810	404.8542	-0.01459889	-0.02749521	0.9995153	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
3	0.0641089	810	404.8542	-0.05135369	-0.3973622	0.9162238	0	0	0	0	-0.02006994	0	0.9997986	0	357.7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
4	0.0750867	810	405.8542	-0.07663041	-0.3744422	0.9240784	0	0	0	0	-0.03359127	0	0.9994357	0	356.15	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
5	0.0875233	810	405.8542	-0.07014406	-0.3743497	0.9246308	0	0	0	0	-0.03010239	0	0.9995468	0	356.55	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6	0.0925166	810	405.8542	-0.06364973	-0.3742422	0.925144	0	0	0	0	-0.02661313	0	0.9996458	0	356.95	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
7	0.1007896	810	404.8542	-0.0636161	-0.3750341	0.9248256	0	0	0	0	-0.02661313	0	0.9996458	0	356.95	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
8	0.1126588	810	404.8542	-0.06037793	-0.3741531	0.9253993	0	0	0	0	-0.02486838	0	0.9996907	0	357.15	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
9	0.1270722	810	404.8542	-0.05471394	-0.3724293	0.9264464	0	0	0	0	-0.02181489	0	0.9997621	0	357.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
10	0.139756	810	404.8542	-0.05066166	-0.3698693	0.9277016	0	0	0	0	-0.0196337	0	0.9998072	0	357.75	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
11	0.1497095	810	404.8542	-0.04902275	-0.3681322	0.9284801	0	0	0	0	-0.0187612	0	0.999824	0	357.85	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
12	0.161511	810	404.8542	-0.04658053	-0.3664174	0.9292839	0	0	0	0	-0.01745241	0	0.9998477	0	358	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
13	0.1739369	810	404.8542	-0.04495933	-0.3630579	0.9306813	0	0	0	0	-0.01657988	0	0.9998626	0	358.1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
14	0.1826124	810	404.8542	-0.04413312	-0.360501	0.9317141	0	0	0	0	-0.0161436	0	0.9998697	0	358.15	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
15	0.1942135	810	405.8542	-0.04252303	-0.3563192	0.9333962	0	0	0	0	-0.01527105	0	0.9998834	0	358.25	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
16	0.2076483	810	405.8542	-0.0424809	-0.3562073	0.9334408	0	0	0	0	-0.01527105	0	0.9998834	0	358.25	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
17	0.2169485	811	404.8542	-0.04152212	-0.3569217	0.933211	0	0	0	0	-0.01527105	0	0.9998834	0	358.25	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
18	0.2276991	811	404.8542	-0.04148737	-0.356831	0.9332472	0	0	0	0	-0.01527105	0	0.9998834	0	358.25	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
19	0.2388066	811	404.8542	-0.04144537	-0.3567239	0.9332901	0	0	0	0	-0.01527105	0	0.9998834	0	358.25	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
20	0.2474964	810	404.8542	-0.04230087	-0.356609	0.9332956	0	0	0	0	-0.01527105	0	0.9998834	0	358.25	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
21	0.2602289	810	404.8542	-0.04226704	-0.3565218	0.9333305	0	0	0	0	-0.01527105	0	0.9998834	0	358.25	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
22	0.2717398	810	405.8542	-0.04222583	-0.3555519	0.9337022	0	0	0	0	-0.01527105	0	0.9998834	0	358.25	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
