frame	time_s	mouse_screen_x	mouse_screen_y	mouse_ray_x	mouse_ray_y	mouse_ray_z	PlayerCapsule_0_pos_x	PlayerCapsule_0_pos_y	PlayerCapsule_0_pos_z	PlayerCapsule_0_q_x	PlayerCapsule_0_q_y	PlayerCapsule_0_q_z	PlayerCapsule_0_q_w	PlayerCapsule_0_eul_x	PlayerCapsule_0_eul_y	PlayerCapsule_0_eul_z	PlayerCapsule_0_hovered	Car1_1_pos_x	Car1_1_pos_y	Car1_1_pos_z	Car1_1_q_x	Car1_1_q_y	Car1_1_q_z	Car1_1_q_w	Car1_1_eul_x	Car1_1_eul_y	Car1_1_eul_z	Car1_1_hovered	Car2_2_pos_x	Car2_2_pos_y	Car2_2_pos_z	Car2_2_q_x	Car2_2_q_y	Car2_2_q_z	Car2_2_q_w	Car2_2_eul_x	Car2_2_eul_y	Car2_2_eul_z	Car2_2_hovered	evt_trial_0	evt_lane_1	evt_car_2	evt_yielding_3	evt_ehmi_4
6781	29.01533	811	404.8542	-0.8192745	-0.1855695	0.5425433	-0.001106146	0.1324241	0.7805136	0	-0.4710121	0	0.8821267	0	303.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6782	29.02109	811	404.8542	-0.8193626	-0.1857037	0.5423644	-0.001106146	0.1324241	0.7805136	0	-0.4710121	0	0.8821267	0	303.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6783	29.02629	811	404.8542	-0.8193687	-0.1857144	0.5423514	-0.001106146	0.1324241	0.7805136	0	-0.4710121	0	0.8821267	0	303.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6784	29.03076	811	404.8542	-0.8193745	-0.1857258	0.5423388	-0.001106146	0.1324241	0.7805136	0	-0.4710121	0	0.8821267	0	303.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6785	29.03481	811	404.8542	-0.8193789	-0.1857351	0.542329	-0.001106146	0.1324241	0.7805136	0	-0.4710121	0	0.8821267	0	303.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6786	29.03877	811	404.8542	-0.8193831	-0.1857436	0.5423197	-0.001106146	0.1324241	0.7805136	0	-0.4710121	0	0.8821267	0	303.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6787	29.04261	811	404.8542	-0.8193873	-0.1857522	0.5423104	-0.001106146	0.1324241	0.7805136	0	-0.4710121	0	0.8821267	0	303.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6788	29.04717	811	404.8542	-0.8193914	-0.1857595	0.5423016	-0.001106146	0.1324241	0.7805136	0	-0.4710121	0	0.8821267	0	303.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6789	29.05115	811	404.8542	-0.8193958	-0.1857703	0.5422913	-0.001106146	0.1324241	0.7805136	0	-0.4710121	0	0.8821267	0	303.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6790	29.05484	811	404.8542	-0.8194	-0.1857797	0.5422817	-0.001106146	0.1324241	0.7805136	0	-0.4710121	0	0.8821267	0	303.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6791	29.05946	811	404.8542	-0.8194036	-0.1857873	0.5422736	-0.001106146	0.1324241	0.7805136	0	-0.4710121	0	0.8821267	0	303.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6792	29.06392	811	404.8542	-0.8194082	-0.1857988	0.5422628	-0.001106146	0.1324241	0.7805136	0	-0.4710121	0	0.8821267	0	303.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6793	29.06817	811	404.8542	-0.8194127	-0.1858093	0.5422524	-0.001106146	0.1324241	0.7805136	0	-0.4710121	0	0.8821267	0	303.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6794	29.07191	811	404.8542	-0.8194171	-0.1858192	0.5422424	-0.001106146	0.1324241	0.7805136	0	-0.4710121	0	0.8821267	0	303.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6795	29.07563	811	404.8542	-0.8194208	-0.1858286	0.5422336	-0.001106146	0.1324241	0.7805136	0	-0.4710121	0	0.8821267	0	303.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6796	29.0801	811	404.8542	-0.8194243	-0.1858381	0.5422249	-0.001106146	0.1324241	0.7805136	0	-0.4710121	0	0.8821267	0	303.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6797	29.0847	811	404.8542	-0.8194292	-0.1858484	0.5422143	-0.001106146	0.1324241	0.7805136	0	-0.4710121	0	0.8821267	0	303.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6798	29.08946	811	404.8542	-0.8194341	-0.1858593	0.542203	-0.001106146	0.1324241	0.7805136	0	-0.4710121	0	0.8821267	0	303.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6799	29.0943	811	404.8542	-0.8194383	-0.1858724	0.542192	-0.001106146	0.1324241	0.7805136	0	-0.4710121	0	0.8821267	0	303.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6800	29.09915	811	404.8542	-0.8194431	-0.185885	0.5421804	-0.001106146	0.1324241	0.7805136	0	-0.4710121	0	0.8821267	0	303.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6801	29.10309	811	404.8542	-0.8194486	-0.1858978	0.5421677	-0.001106146	0.1324241	0.7805136	0	-0.4710121	0	0.8821267	0	303.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6802	29.10712	811	404.8542	-0.8194526	-0.1859079	0.5421584	-0.001106146	0.1324241	0.7805136	0	-0.4710121	0	0.8821267	0	303.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6803	29.11107	811	404.8542	-0.8194566	-0.1859188	0.5421486	-0.001106146	0.1324241	0.7805136	0	-0.4710121	0	0.8821267	0	303.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6804	29.11497	811	404.8542	-0.8194596	-0.1859306	0.54214	-0.001106146	0.1324241	0.7805136	0	-0.4710121	0	0.8821267	0	303.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6805	29.11874	811	404.8542	-0.8194635	-0.185941	0.5421305	-0.001106146	0.1324241	0.7805136	0	-0.4710121	0	0.8821267	0	303.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6806	29.12294	811	404.8542	-0.8194673	-0.1859509	0.5421213	-0.001106146	0.1324241	0.7805136	0	-0.4710121	0	0.8821267	0	303.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6807	29.12796	811	404.8542	-0.8194712	-0.1859631	0.5421113	-0.001106146	0.1324241	0.7805136	0	-0.4710121	0	0.8821267	0	303.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6808	29.13236	811	404.8542	-0.8194767	-0.1859781	0.5420978	-0.001106146	0.1324241	0.7805136	0	-0.4710121	0	0.8821267	0	303.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6809	29.13621	811	404.8542	-0.819481	-0.1859901	0.5420873	-0.001106146	0.1324241	0.7805136	0	-0.4710121	0	0.8821267	0	303.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6810	29.14014	811	404.8542	-0.8194845	-0.1860013	0.5420781	-0.001106146	0.1324241	0.7805136	0	-0.4710121	0	0.8821267	0	303.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6811	29.14444	811	404.8542	-0.8194884	-0.1860134	0.5420681	-0.001106146	0.1324241	0.7805136	0	-0.4710121	0	0.8821267	0	303.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6812	29.14872	811	404.8542	-0.8194926	-0.1860256	0.5420575	-0.001106146	0.1324241	0.7805136	0	-0.4710121	0	0.8821267	0	303.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6813	29.15303	811	404.8542	-0.8194963	-0.1860392	0.5420472	-0.001106146	0.1324241	0.7805136	0	-0.4710121	0	0.8821267	0	303.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6814	29.1581	811	404.8542	-0.8195005	-0.1860525	0.5420362	-0.001106146	0.1324241	0.7805136	0	-0.4710121	0	0.8821267	0	303.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6815	29.16247	811	404.8542	-0.8195058	-0.1860684	0.5420229	-0.001106146	0.1324241	0.7805136	0	-0.4710121	0	0.8821267	0	303.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6816	29.16688	811	404.8542	-0.8195097	-0.1860822	0.5420122	-0.001106146	0.1324241	0.7805136	0	-0.4710121	0	0.8821267	0	303.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6817	29.17122	811	404.8542	-0.8195138	-0.1860954	0.5420015	-0.001106146	0.1324241	0.7805136	0	-0.4710121	0	0.8821267	0	303.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6818	29.17524	811	404.8542	-0.8195177	-0.1861098	0.5419906	-0.001106146	0.1324241	0.7805136	0	-0.4710121	0	0.8821267	0	303.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6819	29.17903	811	404.8542	-0.8195216	-0.1861223	0.5419805	-0.001106146	0.1324241	0.7805136	0	-0.4710121	0	0.8821267	0	303.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6820	29.18287	811	404.8542	-0.8195254	-0.1861341	0.5419706	-0.001106146	0.1324241	0.7805136	0	-0.4710121	0	0.8821267	0	303.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6821	29.18727	811	404.8542	-0.8195285	-0.1861478	0.5419614	-0.001106146	0.1324241	0.7805136	0	-0.4710121	0	0.8821267	0	303.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6822	29.1916	811	404.8542	-0.8195331	-0.1861617	0.5419496	-0.001106146	0.1324241	0.7805136	0	-0.4710121	0	0.8821267	0	303.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6823	29.19563	811	404.8542	-0.819537	-0.1861764	0.5419387	-0.001106146	0.1324241	0.7805136	0	-0.4710121	0	0.8821267	0	303.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6824	29.19945	811	404.8542	-0.8195405	-0.1861901	0.5419286	-0.001106146	0.1324241	0.7805136	0	-0.4710121	0	0.8821267	0	303.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6825	29.20324	811	404.8542	-0.819544	-0.1862024	0.5419191	-0.001106146	0.1324241	0.7805136	0	-0.4710121	0	0.8821267	0	303.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6826	29.20735	811	404.8542	-0.8195476	-0.1862163	0.5419089	-0.001106146	0.1324241	0.7805136	0	-0.4710121	0	0.8821267	0	303.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6827	29.2115	811	404.8542	-0.8195515	-0.1862302	0.5418981	-0.001106146	0.1324241	0.7805136	0	-0.4710121	0	0.8821267	0	303.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6828	29.21673	811	404.8542	-0.8195554	-0.1862443	0.5418873	-0.001106146	0.1324241	0.7805136	0	-0.4710121	0	0.8821267	0	303.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6829	29.22188	811	404.8542	-0.8195596	-0.1862634	0.5418745	-0.001106146	0.1324241	0.7805136	0	-0.4710121	0	0.8821267	0	303.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6830	29.22655	811	404.8542	-0.8195648	-0.1862805	0.5418608	-0.001106146	0.1324241	0.7805136	0	-0.4710121	0	0.8821267	0	303.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6831	29.23109	811	404.8542	-0.8195688	-0.1862972	0.5418491	-0.001106146	0.1324241	0.7805136	0	-0.4710121	0	0.8821267	0	303.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6832	29.23507	811	404.8542	-0.8195723	-0.1863148	0.5418376	-0.001106146	0.1324241	0.7805136	0	-0.4710121	0	0.8821267	0	303.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6833	29.23877	811	404.8542	-0.8195763	-0.1863285	0.5418269	-0.001106146	0.1324241	0.7805136	0	-0.4710121	0	0.8821267	0	303.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6834	29.24245	811	404.8542	-0.8195796	-0.186342	0.5418173	-0.001106146	0.1324241	0.7805136	0	-0.4710121	0	0.8821267	0	303.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6835	29.24664	811	404.8542	-0.8195832	-0.1863559	0.5418071	-0.001106146	0.1324241	0.7805136	0	-0.4710121	0	0.8821267	0	303.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6836	29.25084	811	404.8542	-0.8195867	-0.1863715	0.5417964	-0.001106146	0.1324241	0.7805136	0	-0.4710121	0	0.8821267	0	303.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6837	29.25514	811	404.8542	-0.8195904	-0.1863867	0.5417854	-0.001106146	0.1324241	0.7805136	0	-0.4710121	0	0.8821267	0	303.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6838	29.25955	811	404.8542	-0.8195943	-0.186403	0.541774	-0.001106146	0.1324241	0.7805136	0	-0.4710121	0	0.8821267	0	303.8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
