frame	time_s	mouse_screen_x	mouse_screen_y	mouse_ray_x	mouse_ray_y	mouse_ray_z	PlayerCapsule_0_pos_x	PlayerCapsule_0_pos_y	PlayerCapsule_0_pos_z	PlayerCapsule_0_q_x	PlayerCapsule_0_q_y	PlayerCapsule_0_q_z	PlayerCapsule_0_q_w	PlayerCapsule_0_eul_x	PlayerCapsule_0_eul_y	PlayerCapsule_0_eul_z	PlayerCapsule_0_hovered	Car1_1_pos_x	Car1_1_pos_y	Car1_1_pos_z	Car1_1_q_x	Car1_1_q_y	Car1_1_q_z	Car1_1_q_w	Car1_1_eul_x	Car1_1_eul_y	Car1_1_eul_z	Car1_1_hovered	Car2_2_pos_x	Car2_2_pos_y	Car2_2_pos_z	Car2_2_q_x	Car2_2_q_y	Car2_2_q_z	Car2_2_q_w	Car2_2_eul_x	Car2_2_eul_y	Car2_2_eul_z	Car2_2_hovered	evt_trial_0	evt_lane_1	evt_car_2	evt_yielding_3	evt_ehmi_4
6956	29.0996	808	276.8542	-0.02276745	0.04962068	0.9985086	0.8619944	0.1259999	1.836378	0	-0.007853907	0	0.9999692	0	359.1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6957	29.10434	808	276.8542	0.004890083	0.06771024	0.997693	0.8619944	0.1259999	1.836378	0	0.006108609	0	0.9999814	0	0.6999994	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6958	29.10878	808	276.8542	0.02226143	0.08075024	0.9964858	0.8619944	0.1259999	1.836378	0	0.01483475	0	0.99989	0	1.699999	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6959	29.11307	808	276.8542	0.02224997	0.08073729	0.996487	0.8619944	0.1259999	1.836378	0	0.01483475	0	0.99989	0	1.699999	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6960	29.117	808	276.8542	0.04042375	0.0972403	0.9944397	0.8619944	0.1259999	1.836378	0	0.02399597	0	0.999712	0	2.749999	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6961	29.12087	808	276.8542	0.04041515	0.09722918	0.9944411	0.8619944	0.1259999	1.836378	0	0.02399597	0	0.999712	0	2.749999	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6962	29.12544	808	276.8542	0.06105983	0.1189051	0.9910264	0.8619944	0.1259999	1.836378	0	0.03446342	0	0.999406	0	3.95	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6963	29.12945	808	276.8542	0.0814897	0.1439782	0.9862199	0.8619944	0.1259999	1.836378	0	0.04492709	0	0.9989903	0	5.15	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6964	29.13374	808	276.8542	0.08147931	0.1439672	0.9862224	0.8619944	0.1259999	1.836378	0	0.04492709	0	0.9989903	0	5.15	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
6965	29.13798	808	276.8542	0.1041309	0.1741069	0.9792055	0.8619944	0.1259999	1.836378	0	0.05669278	0	0.9983917	0	6.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
